PUBLICATION NAME: (science) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( REVIEW OR ARTICLE )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Orbitofrontal Cortex Supports Behavior and Learning Using Inferred But Not Cached Values","Jones, Joshua L.; Esber, Guillem R.; McDannald, Michael A.; Gruber, Aaron J.; Hernandez, Alex; Mirenzi, Aaron; Schoenbaum, Geoffrey","","","","SCIENCE","NOV 16 2012","2012","338","6109","","","","953","956","","10.1126/science.1227489","","","134","13.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","21","17","20","19","13","17","20","0"
"Under the Hood of the Earthquake Machine: Toward Predictive Modeling of the Seismic Cycle","Barbot, Sylvain; Lapusta, Nadia; Avouac, Jean-Philippe","","","","SCIENCE","MAY 11 2012","2012","336","6082","","","","707","710","","10.1126/science.1218796","","","134","13.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","14","12","19","18","17","16","20","0"
"Enhanced Remote Earthquake Triggering at Fluid-Injection Sites in the Midwestern United States","van der Elst, Nicholas J.; Savage, Heather M.; Keranen, Katie M.; Abers, Geoffrey A.","","","","SCIENCE","JUL 12 2013","2013","341","6142","","","","164","167","","10.1126/science.1238948","","","133","14.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","26","16","25","14","19","11","17","1"
"Annually Resolved Ice Core Records of Tropical Climate Variability over the Past similar to 1800 Years","Thompson, L. G.; Mosley-Thompson, E.; Davis, M. E.; Zagorodnov, V. S.; Howat, I. M.; Mikhatenko, V. N.; Lin, P. -N.","","","","SCIENCE","MAY 24 2013","2013","340","6135","","","","945","950","","10.1126/science.1234210","","","133","14.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","22","20","18","20","21","14","0"
"Soft Matter Models of Developing Tissues and Tumors","Gonzalez-Rodriguez, David; Guevorkian, Karine; Douezan, Stephane; Brochard-Wyart, Francoise","","","","SCIENCE","NOV 16 2012","2012","338","6109","","","","910","917","","10.1126/science.1226418","","","133","13.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","17","21","15","20","14","18","14","2"
"The Shortest-Known-Period Star Orbiting Our Galaxy's Supermassive Black Hole","Meyer, L.; Ghez, A. M.; Schoedel, R.; Yelda, S.; Boehle, A.; Lu, J. R.; Do, T.; Morris, M. R.; Becklin, E. E.; Matthews, K.","","","","SCIENCE","OCT 5 2012","2012","338","6103","","","","84","87","","10.1126/science.1225506","","","133","13.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","16","15","27","17","17","15","12","0"
"Membrane Fusion Intermediates via Directional and Full Assembly of the SNARE Complex","Hernandez, Javier M.; Stein, Alexander; Behrmann, Elmar; Riedel, Dietmar; Cypionka, Anna; Farsi, Zohreh; Walla, Peter J.; Raunser, Stefan; Jahn, Reinhard","","","","SCIENCE","JUN 22 2012","2012","336","6088","","","","1581","1584","","10.1126/science.1221976","","","133","13.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","17","12","21","20","20","12","10","0"
"Search for the Exit: Voyager 1 at Heliosphere's Border with the Galaxy","Krimigis, S. M.; Decker, R. B.; Roelof, E. C.; Hill, M. E.; Armstrong, T. P.; Gloeckler, G.; Hamilton, D. C.; Lanzerotti, L. J.","","","","SCIENCE","JUL 12 2013","2013","341","6142","","","","144","147","","10.1126/science.1235721","","","132","14.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","24","28","15","17","8","16","11","2"
"Transposition-Driven Genomic Heterogeneity in the Drosophila Brain","Perrat, Paola N.; DasGupta, Shamik; Wang, Jie; Theurkauf, William; Weng, Zhiping; Rosbash, Michael; Waddell, Scott","","","","SCIENCE","APR 5 2013","2013","340","6128","","","","91","95","","10.1126/science.1231965","","","132","14.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","26","18","19","14","17","16","11","0"
"Parallel Molecular Evolution in an Herbivore Community","Zhen, Ying; Aardema, Matthew L.; Medina, Edgar M.; Schumer, Molly; Andolfatto, Peter","","","","SCIENCE","SEP 28 2012","2012","337","6102","","","","1634","1637","","10.1126/science.1226630","","","132","13.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","10","14","20","22","12","23","19","0"
