PUBLICATION NAME: (nature communications) AND YEAR PUBLISHED: (2012-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"A polymer tandem solar cell with 10.6% power conversion efficiency","You, Jingbi; Dou, Letian; Yoshimura, Ken; Kato, Takehito; Ohya, Kenichiro; Moriarty, Tom; Emery, Keith; Chen, Chun-Chao; Gao, Jing; Li, Gang; Yang, Yang","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1446","10.1038/ncomms2411","","","2466","274.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","173","579","594","438","272","195","136","77","2"
"Valley-selective circular dichroism of monolayer molybdenum disulphide","Cao, Ting; Wang, Gang; Han, Wenpeng; Ye, Huiqi; Zhu, Chuanrui; Shi, Junren; Niu, Qian; Tan, Pingheng; Wang, Enge; Liu, Baoli; Feng, Ji","","","","NATURE COMMUNICATIONS","JUN 2012","2012","3","","","","","","","887","10.1038/ncomms1882","","","1486","148.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","105","159","192","193","212","216","198","196","7"
"A new class of Solvent-in-Salt electrolyte for high-energy rechargeable metallic lithium batteries","Suo, Liumin; Hu, Yong-Sheng; Li, Hong; Armand, Michel; Chen, Liquan","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1481","10.1038/ncomms2513","","","1343","149.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","113","142","147","202","236","231","235","9"
"Efficient organometal trihalide perovskite planar-heterojunction solar cells on flexible polymer substrates","Docampo, Pablo; Ball, James M.; Darwich, Mariam; Eperon, Giles E.; Snaith, Henry J.","","","","NATURE COMMUNICATIONS","NOV 2013","2013","4","","","","","","","2761","10.1038/ncomms3761","","","1200","133.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","221","249","200","183","142","99","3"
"Scalable fabrication of high-power graphene micro-supercapacitors for flexible and on-chip energy storage","El-Kady, Maher F.; Kaner, Richard B.","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1475","10.1038/ncomms2446","","","1142","126.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","91","126","155","185","184","211","170","7"
"High-mobility and low-power thin-film transistors based on multilayer MoS2 crystals","Kim, Sunkook; Konar, Aniruddha; Hwang, Wan-Sik; Lee, Jong Hak; Lee, Jiyoul; Yang, Jaehyun; Jung, Changhoon; Kim, Hyoungsub; Yoo, Ji-Beom; Choi, Jae-Young; Jin, Yong Wan; Lee, Sang Yoon; Jena, Debdeep; Choi, Woong; Kim, Kinam","","","","NATURE COMMUNICATIONS","AUG 2012","2012","3","","","","","","","1011","10.1038/ncomms2018","","","1126","112.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","75","129","160","171","172","147","150","107","12"
"Flexible polymer transistors with high pressure sensitivity for application in electronic skin and health monitoring","Schwartz, Gregor; Tee, Benjamin C. -K.; Mei, Jianguo; Appleton, Anthony L.; Kim, Do Hwan; Wang, Huiliang; Bao, Zhenan","","","","NATURE COMMUNICATIONS","MAY 2013","2013","4","","","","","","","1859","10.1038/ncomms2832","","","1125","125.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","69","109","135","178","198","237","175","15"
"Overcoming ultraviolet light instability of sensitized TiO2 with meso-superstructured organometal tri-halide perovskite solar cells","Leijtens, Tomas; Eperon, Giles E.; Pathak, Sandeep; Abate, Antonio; Lee, Michael M.; Snaith, Henry J.","","","","NATURE COMMUNICATIONS","DEC 2013","2013","4","","","","","","","2885","10.1038/ncomms3885","","","1106","122.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","104","158","172","228","212","179","14"
"Ultrathin and lightweight organic solar cells with high flexibility","Kaltenbrunner, Martin; White, Matthew S.; Glowacki, Eric D.; Sekitani, Tsuyoshi; Someya, Takao; Sariciftci, Niyazi Serdar; Bauer, Siegfried","","","","NATURE COMMUNICATIONS","APR 2012","2012","3","","","","","","","770","10.1038/ncomms1772","","","1020","102.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","58","118","127","126","127","147","145","151","7"
"fSulphur-TiO2 yolk-shell nanoarchitecture with internal void space for long-cycle lithium-sulphur batteries","Seh, Zhi Wei; Li, Weiyang; Cha, Judy J.; Zheng, Guangyuan; Yang, Yuan; McDowell, Matthew T.; Hsu, Po-Chun; Cui, Yi","","","","NATURE COMMUNICATIONS","JAN 2013","2013","4","","","","","","","1331","10.1038/ncomms2327","","","1019","113.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","138","184","147","136","125","130","115","11"
