PUBLICATION NAME: (nature communications) AND YEAR PUBLISHED: (2012-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Counting motifs in the human interactome","Ngoc Hieu Tran; Choi, Kwok Pui; Zhang, Louxin","","","","NATURE COMMUNICATIONS","AUG 2013","2013","4","","","","","","","2241","10.1038/ncomms3241","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","5","4","6","2","0"
"A new sauropod dinosaur from the Early Cretaceous of Tunisia with extreme avian-like pneumatization","Fanti, Federico; Cau, Andrea; Hassine, Mohsen; Contessi, Michela","","","","NATURE COMMUNICATIONS","JUL 2013","2013","4","","","","","","","2080","10.1038/ncomms3080","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","4","5","3","1","5","0"
"Deregulation of translation due to post-transcriptional modification of rRNA explains why erm genes are inducible","Gupta, Pulkit; Sothiselvam, Shanmugapriya; Vazquez-Laslop, Nora; Mankin, Alexander S.","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","1984","10.1038/ncomms2984","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","5","1","4","6","3","0"
"Synthetic regimes due to packing constraints in dendritic molecules confirmed by labelling experiments","Zhang, Baozhong; Yu, Hao; Schlueter, A. Dieter; Halperin, Avraham; Kroeger, Martin","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","1993","10.1038/ncomms2993","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","6","2","2","5","1","0"
"Sublinear binocular integration preserves orientation selectivity in mouse visual cortex","Zhao, Xinyu; Liu, Mingna; Cang, Jianhua","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","2088","10.1038/ncomms3088","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","3","3","3","3","2","3","0"
"FAK-heterozygous mice display enhanced tumour angiogenesis","Kostourou, Vassiliki; Lechertier, Tanguy; Reynolds, Louise E.; Lees, Delphine M.; Baker, Marianne; Jones, Dylan T.; Tavora, Bernardo; Ramjaun, Antoine R.; Birdsey, Graeme M.; Robinson, Stephen D.; Parsons, Maddy; Randi, Anna M.; Hart, Ian R.; Hodivala-Dilke, Kairbaan","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","2020","10.1038/ncomms3020","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","6","3","3","2","3","2","0"
"Kindlin-1 regulates mitotic spindle formation by interacting with integrins and Plk-1","Patel, Hitesh; Zich, Judith; Serrels, Bryan; Rickman, Colin; Hardwick, Kevin G.; Frame, Margaret C.; Brunton, Valerie G.","","","","NATURE COMMUNICATIONS","JUN 2013","2013","4","","","","","","","2056","10.1038/ncomms3056","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","8","5","3","2","1","0"
"Involvement of the Wnt/beta-catenin pathway in neurectoderm architecture in Platynereis dumerilii","Demilly, Adrien; Steinmetz, Patrick; Gazave, Eve; Marchand, Lauriane; Vervoort, Michel","","","","NATURE COMMUNICATIONS","MAY 2013","2013","4","","","","","","","1915","10.1038/ncomms2915","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","3","1","3","3","4","3","0"
"Inhibition of return in the archer fish","Gabay, Shai; Leibovich, Tali; Ben-Simon, Avi; Henik, Avishai; Segev, Ronen","","","","NATURE COMMUNICATIONS","APR 2013","2013","4","","","","","","","1657","10.1038/ncomms2644","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","2","7","2","6","1"
"Fathers are just as good as mothers at recognizing the cries of their baby","Gustafsson, Erik; Levrero, Florence; Reby, David; Mathevon, Nicolas","","","","NATURE COMMUNICATIONS","APR 2013","2013","4","","","","","","","1698","10.1038/ncomms2713","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","8","4","1","3","0"
