PUBLICATION NAME: (plos genetics) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE OR REVIEW )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Rates of Gyrase Supercoiling and Transcription Elongation Control Supercoil Density in a Bacterial Chromosome","Rovinskiy, Nikolay; Agbleke, Andrews Akwasi; Chesnokova, Olga; Pang, Zhenhua; Higgins, Patrick","","","","PLOS GENETICS","AUG 2012","2012","8","8","","","","","","e1002845","10.1371/journal.pgen.1002845","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","12","5","6","5","3","8","6","0"
"OSD1 Promotes Meiotic Progression via APC/C Inhibition and Forms a Regulatory Network with TDM and CYCA1;2/TAM","Cromer, Laurence; Heyman, Jefri; Touati, Sandra; Harashima, Hirofumi; Araou, Emilie; Girard, Chloe; Horlow, Christine; Wassmann, Katja; Schnittger, Arp; De Veylder, Lieven; Mercier, Raphael","","","","PLOS GENETICS","JUL 2012","2012","8","7","","","","","","e1002865","10.1371/journal.pgen.1002865","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","10","9","8","2","3","8","6","0"
"Differential Impact of the HEN1 Homolog HENN-1 on 21U and 26G RNAs in the Germline of Caenorhabditis elegans","Kamminga, Leonie M.; van Wolfswinkel, Josien C.; Luteijn, Maartje J.; Kaaij, Lucas J. T.; Bagijn, Marloes P.; Sapetschnig, Alexandra; Miska, Eric A.; Berezikov, Eugene; Ketting, Rene F.","","","","PLOS GENETICS","JUL 2012","2012","8","7","","","","","","e1002702","10.1371/journal.pgen.1002702","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","16","7","4","4","5","10","3","0"
"Parallel Evolution of Auditory Genes for Echolocation in Bats and Toothed Whales","Shen, Yong-Yi; Liang, Lu; Li, Gui-Sheng; Murphy, Robert W.; Zhang, Ya-Ping","","","","PLOS GENETICS","JUN 2012","2012","8","6","","","","","","e1002788","10.1371/journal.pgen.1002788","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","7","7","5","7","6","7","7","0"
"The NSL Complex Regulates Housekeeping Genes in Drosophila","Lam, Kin Chung; Muehlpfordt, Friederike; Vaquerizas, Juan M.; Raja, Sunil Jayaramaiah; Holz, Herbert; Luscombe, Nicholas M.; Manke, Thomas; Akhtar, Asifa","","","","PLOS GENETICS","JUN 2012","2012","8","6","","","","","","e1002736","10.1371/journal.pgen.1002736","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","9","6","7","10","5","4","0"
"Akirin Links Twist-Regulated Transcription with the Brahma Chromatin Remodeling Complex during Embryogenesis","Nowak, Scott J.; Aihara, Hitoshi; Gonzalez, Katie; Nibu, Yutaka; Baylies, Mary K.","","","","PLOS GENETICS","MAR 2012","2012","8","3","","","","","","e1002547","10.1371/journal.pgen.1002547","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","8","7","5","1","6","6","8","1"
"Genomic Restructuring in the Tasmanian Devil Facial Tumour: Chromosome Painting and Gene Mapping Provide Clues to Evolution of a Transmissible Tumour","Deakin, Janine E.; Bender, Hannah S.; Pearse, Anne-Maree; Rens, Willem; O'Brien, Patricia C. M.; Ferguson-Smith, Malcolm A.; Cheng, Yuanyuan; Morris, Katrina; Taylor, Robyn; Stuart, Andrew; Belov, Katherine; Amemiya, Chris T.; Murchison, Elizabeth P.; Papenfuss, Anthony T.; Graves, Jennifer A. Marshall","","","","PLOS GENETICS","FEB 2012","2012","8","2","","","","","","e1002483","10.1371/journal.pgen.1002483","","","56","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","5","6","6","4","12","6","5","0"
"Base Pairing Interaction between 5 '- and 3 '-UTRs Controls icaR mRNA Translation in Staphylococcus aureus","Ruiz de los Mozos, Igor; Vergara-Irigaray, Marta; Segura, Victor; Villanueva, Maite; Bitarte, Nerea; Saramago, Margarida; Domingues, Susana; Arraiano, Cecilia M.; Fechter, Pierre; Romby, Pascale; Valle, Jaione; Solano, Cristina; Lasa, Inigo; Toledo-Arana, Alejandro","","","","PLOS GENETICS","DEC 2013","2013","9","12","","","","","","e1004001","10.1371/journal.pgen.1004001","","","55","6.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","13","9","10","5","8","0"
"Genotype-Environment Interactions Reveal Causal Pathways That Mediate Genetic Effects on Phenotype","Gagneur, Julien; Stegle, Oliver; Zhu, Chenchen; Jakob, Petra; Tekkedil, Manu M.; Aiyar, Raeka S.; Schuon, Ann-Kathrin; Pe'er, Dana; Steinmetz, Lars M.","","","","PLOS GENETICS","SEP 2013","2013","9","9","","","","","","e1003803","10.1371/journal.pgen.1003803","","","55","6.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","11","12","8","7","4","4","0"
"Reversible and Rapid Transfer-RNA Deactivation as a Mechanism of Translational Repression in Stress","Czech, Andreas; Wende, Sandra; Moerl, Mario; Pan, Tao; Ignatova, Zoya","","","","PLOS GENETICS","AUG 2013","2013","9","8","","","","","","e1003767","10.1371/journal.pgen.1003767","","","55","6.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","8","5","11","7","8","0"
