PUBLICATION NAME: (science) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( REVIEW OR ARTICLE )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Structure of Parkin Reveals Mechanisms for Ubiquitin Ligase Activation","Trempe, Jean-Francois; Sauve, Veronique; Grenier, Karl; Seirafi, Marjan; Tang, Matthew Y.; Menade, Marie; Al-Abdul-Wahid, Sameer; Krett, Jonathan; Wong, Kathy; Kozlov, Guennadi; Nagar, Bhushan; Fon, Edward A.; Gehring, Kalle","","","","SCIENCE","JUN 21 2013","2013","340","6139","","","","1451","1455","","10.1126/science.1237908","","","270","30.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","40","43","36","39","41","27","31","2"
"Stress in Puberty Unmasks Latent Neuropathological Consequences of Prenatal Immune Activation in Mice","Giovanoli, Sandra; Engler, Harald; Engler, Andrea; Richetto, Juliet; Voget, Mareike; Willi, Roman; Winter, Christine; Riva, Marco A.; Mortensen, Preben B.; Schedlowski, Manfred; Meyer, Urs","","","","SCIENCE","MAR 1 2013","2013","339","6123","","","","1095","1099","","10.1126/science.1228261","","","270","30.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","34","47","34","35","35","31","33","0"
"Mycobacterial Disease and Impaired IFN-gamma Immunity in Humans with Inherited ISG15 Deficiency","Bogunovic, Dusan; Byun, Minji; Durfee, Larissa A.; Abhyankar, Avinash; Sanal, Ozden; Mansouri, Davood; Salem, Sandra; Radovanovic, Irena; Grant, Audrey V.; Adimi, Parisa; Mansouri, Nahal; Okada, Satoshi; Bryant, Vanessa L.; Kong, Xiao-Fei; Kreins, Alexandra; Velez, Marcela Moncada; Boisson, Bertrand; Khalilzadeh, Soheila; Ozcelik, Ugur; Darazam, Ilad Alavi; Schoggins, John W.; Rice, Charles M.; Al-Muhsen, Saleh; Behr, Marcel; Vogt, Guillaume; Puel, Anne; Bustamante, Jacinta; Gros, Philippe; Huibregtse, Jon M.; Abel, Laurent; Boisson-Dupuis, Stephanie; Casanova, Jean-Laurent","","","","SCIENCE","SEP 28 2012","2012","337","6102","","","","1684","1688","","10.1126/science.1224026","","","270","27.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","34","39","35","25","36","33","25","40","1"
"dSarm/Sarm1 Is Required for Activation of an Injury-Induced Axon Death Pathway","Osterloh, Jeannette M.; Yang, Jing; Rooney, Timothy M.; Fox, A. Nicole; Adalbert, Robert; Powell, Eric H.; Sheehan, Amy E.; Avery, Michelle A.; Hackett, Rachel; Logan, Mary A.; MacDonald, Jennifer M.; Ziegenfuss, Jennifer S.; Milde, Stefan; Hou, Ying-Ju; Nathan, Carl; Ding, Aihao; Brown, Robert H., Jr.; Conforti, Laura; Coleman, Michael; Tessier-Lavigne, Marc; Zuechner, Stephan; Freeman, Marc R.","","","","SCIENCE","JUL 27 2012","2012","337","6093","","","","481","484","","10.1126/science.1223899","","","270","27.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","33","26","31","30","27","31","43","46","1"
"Ecological Consequences of Sea-Ice Decline","Post, Eric; Bhatt, Uma S.; Bitz, Cecilia M.; Brodie, Jedediah F.; Fulton, Tara L.; Hebblewhite, Mark; Kerby, Jeffrey; Kutz, Susan J.; Stirling, Ian; Walker, Donald A.","","","","SCIENCE","AUG 2 2013","2013","341","6145","","","","519","524","","10.1126/science.1235225","","","269","29.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","27","34","41","42","46","36","40","1"
"Airn Transcriptional Overlap, But Not Its lncRNA Products, Induces Imprinted Igf2r Silencing","Latos, Paulina A.; Pauler, Florian M.; Koerner, Martha V.; Senergin, H. Basak; Hudson, Quanah J.; Stocsits, Roman R.; Allhoff, Wolfgang; Stricker, Stefan H.; Klement, Ruth M.; Warczok, Katarzyna E.; Aumayr, Karin; Pasierbek, Pawel; Barlow, Denise P.","","","","SCIENCE","DEC 14 2012","2012","338","6113","","","","1469","1472","","10.1126/science.1228110","","","269","26.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","35","34","24","40","31","29","39","36","0"
"Emergence and Frustration of Magnetism with Variable-Range Interactions in a Quantum Simulator","Islam, R.; Senko, C.; Campbell, W. C.; Korenblit, S.; Smith, J.; Lee, A.; Edwards, E. E.; Wang, C. -C. J.; Freericks, J. K.; Monroe, C.","","","","SCIENCE","MAY 3 2013","2013","340","6132","","","","583","587","","10.1126/science.1232296","","","268","29.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","35","34","36","36","39","31","40","0"
"Adhesion Functions in Cell Sorting by Mechanically Coupling the Cortices of Adhering Cells","Maitre, Jean-Leon; Berthoumieux, Helene; Krens, Simon Frederik Gabriel; Salbreux, Guillaume; Juelicher, Frank; Paluch, Ewa; Heisenberg, Carl-Philipp","","","","SCIENCE","OCT 12 2012","2012","338","6104","","","","253","256","","10.1126/science.1225399","","","268","26.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","25","28","47","35","40","33","31","24","2"
"Non-Centrosymmetric Cylindrical Micelles by Unidirectional Growth","Rupar, Paul A.; Chabanne, Laurent; Winnik, Mitchell A.; Manners, Ian","","","","SCIENCE","AUG 3 2012","2012","337","6094","","","","559","562","","10.1126/science.1221206","","","268","26.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","34","40","45","39","24","35","25","22","0"
"Structures of Cage, Prism, and Book Isomers of Water Hexamer from Broadband Rotational Spectroscopy","Perez, Cristobal; Muckle, Matt T.; Zaleski, Daniel P.; Seifert, Nathan A.; Temelso, Berhane; Shields, George C.; Kisiel, Zbigniew; Pate, Brooks H.","","","","SCIENCE","MAY 18 2012","2012","336","6083","","","","897","901","","10.1126/science.1220574","","","268","26.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","47","35","36","36","31","21","23","24","1"
