PUBLICATION NAME: (nature) AND YEAR PUBLISHED: (2012-2013)
Refined by: DOCUMENT TYPES=( ARTICLE OR REVIEW )
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Targeting VEGF-B as a novel treatment for insulin resistance and type 2 diabetes","Hagberg, Carolina E.; Mehlem, Annika; Falkevall, Annelie; Muhl, Lars; Fam, Barbara C.; Ortsater, Henrik; Scotney, Pierre; Nyqvist, Daniel; Samen, Erik; Lu, Li; Stone-Elander, Sharon; Proietto, Joseph; Andrikopoulos, Sofianos; Sjoholm, Ake; Nash, Andrew; Eriksson, Ulf","","","","NATURE","OCT 18 2012","2012","490","7420","","","","426","+","","10.1038/nature11464","","","166","16.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","18","24","17","23","25","22","18","17","1"
"Statistical geochemistry reveals disruption in secular lithospheric evolution about 2.5 Gyr ago","Keller, C. Brenhin; Schoene, Blair","","","","NATURE","MAY 24 2012","2012","485","7399","","","","490","U100","","10.1038/nature11024","","","166","16.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","13","19","12","22","30","30","31","2"
"FBXO11 targets BCL6 for degradation and is inactivated in diffuse large B-cell lymphomas","Duan, Shanshan; Cermak, Lukas; Pagan, Julia K.; Rossi, Mario; Martinengo, Cinzia; di Celle, Paola Francia; Chapuy, Bjoern; Shipp, Margaret; Chiarle, Roberto; Pagano, Michele","","","","NATURE","JAN 5 2012","2012","481","7379","","","","90","U100","","10.1038/nature10688","","","166","16.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","16","16","20","26","24","16","17","20","2"
"Direct recording and molecular identification of the calcium channel of primary cilia","DeCaen, Paul G.; Delling, Markus; Vien, Thuy N.; Clapham, David E.","","","","NATURE","DEC 12 2013","2013","504","7479","","","","315","+","","10.1038/nature12832","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","37","34","19","21","17","18","0"
"Potential for spin-based information processing in a thin-film molecular semiconductor","Warner, Marc; Din, Salahud; Tupitsyn, Igor S.; Morley, Gavin W.; Stoneham, A. Marshall; Gardener, Jules A.; Wu, Zhenlin; Fisher, Andrew J.; Heutz, Sandrine; Kay, Christopher W. M.; Aeppli, Gabriel","","","","NATURE","NOV 28 2013","2013","503","7477","","","","504","+","","10.1038/nature12597","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","21","35","29","17","21","21","0"
"Selection and adaptation during metastatic cancer progression","Klein, Christoph A.","","","","NATURE","SEP 19 2013","2013","501","7467","","","","365","372","","10.1038/nature12628","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","25","22","31","17","22","18","0"
"Onset of deglacial warming in West Antarctica driven by local orbital forcing","Fudge, T. J.; Steig, Eric J.; Markle, Bradley R.; Schoenemann, Spruce W.; Ding, Qinghua; Taylor, Kendrick C.; McConnell, Joseph R.; Brook, Edward J.; Sowers, Todd; White, James W. C.; Alley, Richard B.; Cheng, Hai; Clow, Gary D.; Cole-Dai, Jihong; Conway, Howard; Cuffey, Kurt M.; Edwards, Jon S.; Edwards, R. Lawrence; Edwards, Ross; Fegyveresi, John M.; Ferris, David; Fitzpatrick, Joan J.; Johnson, Jay; Hargreaves, Geoffrey; Lee, James E.; Maselli, Olivia J.; Mason, William; McGwire, Kenneth C.; Mitchell, Logan E.; Mortensen, Nicolai; Neff, Peter; Orsi, Anais J.; Popp, Trevor J.; Schauer, Andrew J.; Severinghaus, Jeffrey P.; Sigl, Michael; Spencer, Matthew K.; Vaughn, Bruce H.; Voigt, Donald E.; Waddington, Edwin D.; Wang, Xianfeng; Wong, Gifford J.","WAIS Divide Project Members","","","NATURE","AUG 22 2013","2013","500","7463","","","","440","+","","10.1038/nature12376","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","23","24","25","21","28","22","20","0"
"Locomotion dynamics of hunting in wild cheetahs","Wilson, A. M.; Lowe, J. C.; Roskilly, K.; Hudson, P. E.; Golabek, K. A.; McNutt, J. W.","","","","NATURE","JUN 13 2013","2013","498","7453","","","","185","+","","10.1038/nature12295","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","28","23","31","28","17","21","0"
"The bromodomain protein Brd4 insulates chromatin from DNA damage signalling","Floyd, Scott R.; Pacold, Michael E.; Huang, Qiuying; Clarke, Scott M.; Lam, Fred C.; Cannell, Ian G.; Bryson, Bryan D.; Rameseder, Jonathan; Lee, Michael J.; Blake, Emily J.; Fydrych, Anna; Ho, Richard; Greenberger, Benjamin A.; Chen, Grace C.; Maffa, Amanda; Del Rosario, Amanda M.; Root, David E.; Carpenter, Anne E.; Hahn, William C.; Sabatini, David M.; Chen, Clark C.; White, Forest M.; Bradner, James E.; Yaffe, Michael B.","","","","NATURE","JUN 13 2013","2013","498","7453","","","","246","+","","10.1038/nature12147","","","165","18.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","19","26","20","30","23","16","21","0"
"Codon-usage-based inhibition of HIV protein synthesis by human schlafen 11","Li, Manqing; Kao, Elaine; Gao, Xia; Sandig, Hilary; Limmer, Kirsten; Pavon-Eternod, Mariana; Jones, Thomas E.; Landry, Sebastien; Pan, Tao; Weitzman, Matthew D.; David, Michael","","","","NATURE","NOV 1 2012","2012","491","7422","","","","125","U145","","10.1038/nature11433","","","165","16.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","19","17","14","23","25","31","17","1"
