PUBLICATION NAME: (nature communications) AND YEAR PUBLISHED: (2012-2013)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Identity of endogenous NMDAR glycine site agonist in amygdala is determined by synaptic activity level","Li, Yan; Sacchi, Silvia; Pollegioni, Loredano; Basu, Alo C.; Coyle, Joseph T.; Bolshakov, Vadim Y.","","","","NATURE COMMUNICATIONS","APR 2013","2013","4","","","","","","","1760","10.1038/ncomms2779","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","8","7","7","7","6","0"
"Optical visualization of individual ultralong carbon nanotubes by chemical vapour deposition of titanium dioxide nanoparticles","Zhang, Rufan; Zhang, Yingying; Zhang, Qiang; Xie, Huanhuan; Wang, Haidong; Nie, Jingqi; Wen, Qian; Wei, Fei","","","","NATURE COMMUNICATIONS","APR 2013","2013","4","","","","","","","1727","10.1038/ncomms2736","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","5","6","6","6","10","0"
"Transferring a synthetic gene circuit from yeast to mammalian cells","Nevozhay, Dmitry; Zal, Tomasz; Balazsi, Gabor","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1451","10.1038/ncomms2471","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","5","7","2","7","10","6","0"
"Cytotoxicity of botulinum neurotoxins reveals a direct role of syntaxin 1 and SNAP-25 in neuron survival","Peng, Lisheng; Liu, Huisheng; Ruan, Hongyu; Tepp, William H.; Stoothoff, William H.; Brown, Robert H.; Johnson, Eric A.; Yao, Wei-Dong; Zhang, Su-Chun; Dong, Min","","","","NATURE COMMUNICATIONS","FEB 2013","2013","4","","","","","","","1472","10.1038/ncomms2462","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","8","12","6","4","3","0"
"Interaction imaging with amplitude-dependence force spectroscopy","Platz, Daniel; Forchheimer, Daniel; Tholen, Erik A.; Haviland, David B.","","","","NATURE COMMUNICATIONS","JAN 2013","2013","4","","","","","","","1360","10.1038/ncomms2365","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","4","9","5","6","7","4","1"
"A structural basis for streptomycin-induced misreading of the genetic code","Demirci, Hasan; Murphy, Frank; Murphy, Eileen; Gregory, Steven T.; Dahlberg, Albert E.; Jogl, Gerwald","","","","NATURE COMMUNICATIONS","JAN 2013","2013","4","","","","","","","1355","10.1038/ncomms2346","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","4","12","3","8","6","8","0"
"Cooperation between different RNA virus genomes produces a new phenotype","Shirogane, Yuta; Watanabe, Shumpei; Yanagi, Yusuke","","","","NATURE COMMUNICATIONS","DEC 2012","2012","3","","","","","","","1235","10.1038/ncomms2252","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4","8","4","9","10","6","0"
"Non-equilibrium dynamics of an unstable quantum pendulum explored in a spin-1 Bose-Einstein condensate","Gerving, C. S.; Hoang, T. M.; Land, B. J.; Anquez, M.; Hamley, C. D.; Chapman, M. S.","","","","NATURE COMMUNICATIONS","NOV 2012","2012","3","","","","","","","1169","10.1038/ncomms2179","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","8","4","6","2","6","8","0"
"A peptide derived from laminin-gamma 3 reversibly impairs spermatogenesis in rats","Su, Linlin; Mruk, Dolores D.; Lie, Pearl P. Y.; Silvestrini, Bruno; Cheng, C. Yan","","","","NATURE COMMUNICATIONS","NOV 2012","2012","3","","","","","","","1185","10.1038/ncomms2171","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","7","5","5","3","5","9","1"
"Orphan receptor IL-17RD tunes IL-17A signalling and is required for neutrophilia","Mellett, Mark; Atzei, Paola; Horgan, Alan; Hams, Emily; Floss, Thomas; Wurst, Wolfgang; Fallon, Padraic G.; Moynagh, Paul N.","","","","NATURE COMMUNICATIONS","OCT 2012","2012","3","","","","","","","1119","10.1038/ncomms2127","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","6","5","7","5","6","8","1"
"FAT10 and NUB1L bind to the VWA domain of Rpn10 and Rpn1 to enable proteasome-mediated proteolysis","Rani, Neha; Aichem, Annette; Schmidtke, Gunter; Kreft, Stefan G.; Groettrup, Marcus","","","","NATURE COMMUNICATIONS","MAR 2012","2012","3","","","","","","","749","10.1038/ncomms1752","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","10","6","5","3","5","6","9","0"
